Subject	ChooseA_ACC	AvoidB_ACC	NumTrainingTrials	Incongruent_SimonRT	Congruent_SimonRT	CongruencyEffect_SimonRT	Incongruent_SimonACC	Congruent_SimonACC	CongruencyEffect_SimonACC	OS_Score
28020	0.75	0.875	180	580.2857	484.814	95.4718	0.9333	0.9556	0.0222	25
28021	0.5	1	360	454.5833	392.1111	62.4722	0.8	1	0.2	55
28022	0.5625	0.75	120	429.7692	408.3182	21.451	0.8667	0.9778	0.1111	48
28023	0	1	60	486.2143	475.8864	10.3279	0.9333	0.9778	0.0444	46
28024	0.5	0.4375	360	667.7857	484.5455	183.2403	0.9333	0.9778	0.0444	50
28025	0.9375	0.625	60	460.7	358.5682	102.1318	0.6667	0.9778	0.3111	4
28026	0.875	0.6875	60	453.2667	404.7209	48.5457	1	0.9556	-0.0444	36
28028	0.4375	0.8125	120	486.0769	420.0698	66.0072	0.8667	0.9556	0.0889	41
28029	0.6875	0.75	360	486.9286	428.9091	58.0195	0.9333	0.9778	0.0444	0
28030	0.25	0.875	60	508.5	422.4667	86.0333	0.9333	1	0.0667	57
28031	0.875	0.9375	240	490.5714	476.9333	13.6381	0.9333	1	0.0667	43
28032	0.6875	0.6875	240	591.8571	483.2667	108.5905	0.9333	1	0.0667	65
28033	0.6875	0.625	180	426.8182	363.0227	63.7955	0.7333	0.9778	0.2444	62
28034	-0.375	0	320	534.4667	506.6977	27.769	1	0.9556	-0.0444	50
28035	1	0.6875	120	473.4667	425.7727	47.6939	1	0.9778	-0.0222	61
28036	0.4375	0.5625	300	530.2308	435.7556	94.4752	0.8667	1	0.1333	27
28037	0.5	0.5625	120	492.5333	437.2273	55.3061	1	0.9778	-0.0222	6
28038	0.5	0.875	60	531.2667	487.8222	43.4444	1	1	0	50
28039	0.875	0.4375	60	470.3571	401.7556	68.6016	0.9333	1	0.0667	43
28040	-0.375	0	254	756.5385	608.1333	148.4051	0.8667	1	0.1333	NA
28041	0.75	1	120	451.4286	433.5333	17.8952	0.9333	1	0.0667	56
28042	0.4375	0.5625	60	449.9286	388.8182	61.1104	0.9333	0.9778	0.0444	68
28043	-0.375	0	332	459.5385	380.186	79.3524	0.8667	0.9556	0.0889	14
28044	0.75	0.8125	180	379.4	292.3409	87.0591	0.6667	0.9778	0.3111	23
28045	0.5625	0.5625	120	501.6923	371.3864	130.3059	0.8667	0.9778	0.1111	39
28047	-0.375	0	205	524.1429	457.4545	66.6883	0.9333	0.9778	0.0444	15
28048	1	1	60	407.1429	351.2222	55.9206	0.9333	1	0.0667	75
28049	0.8125	0.9375	60	492.9286	426.9767	65.9518	0.9333	0.9556	0.0222	46
28050	-0.375	0	196	773	654.7727	118.2273	0.9333	0.9778	0.0444	20
28051	1	1	180	361.0833	326.4773	34.6061	0.8	0.9778	0.1778	55
28052	0.625	0.5625	60	338.875	283.7955	55.0795	0.5333	0.9778	0.4444	43
28053	0.75	0.9375	120	501.7857	463.7955	37.9903	0.9333	0.9778	0.0444	35
28054	0.8125	0.875	240	479.2667	441.5227	37.7439	1	0.9778	-0.0222	49
28055	0.8125	0.75	60	523.3846	400.9302	122.4544	0.8667	0.9556	0.0889	43
28056	0.3125	0.75	60	446.1818	386.3556	59.8263	0.7333	1	0.2667	50
28057	0.6875	0.75	120	447.5	390.5556	56.9444	0.8	1	0.2	6
28058	0.875	0.625	240	808.3333	566.641	241.6923	0.8	0.8667	0.0667	30
28059	-0.375	0	247	531.2	472.7778	58.4222	1	1	0	62
28060	0.8125	1	120	466.0769	424.0667	42.0103	0.8667	1	0.1333	64
28061	0.6875	0.75	360	487.2143	421.5556	65.6587	0.9333	1	0.0667	29
28062	0.375	0.3125	120	475.0714	372.8864	102.1851	0.9333	0.9778	0.0444	63
28063	1	0.9375	60	413.0833	367.9767	45.1066	0.8	0.9556	0.1556	68
28064	-0.375	0	292	574.8667	726.4146	-151.548	1	0.9111	-0.0889	19
28065	0.625	0.875	60	374.8571	337.8537	37.0035	0.9333	0.9111	-0.0222	46
28066	-0.375	0	296	402.4545	351.9773	50.4773	0.7333	0.9778	0.2444	47
28067	0.375	0	120	504.7857	401.2222	103.5635	0.9333	1	0.0667	39
28068	1	0.0625	120	781.0667	665.3571	115.7095	1	0.9333	-0.0667	62
28069	0.875	0.875	60	503.4286	420.4091	83.0195	0.9333	0.9778	0.0444	32
28070	1	0.75	360	489.3571	523.2326	-33.8754	0.9333	0.9556	0.0222	69
28071	0.1875	1	60	488.3077	402.0455	86.2622	0.8667	0.9778	0.1111	60
28072	0.5625	0.9375	60	494.9333	476.4773	18.4561	1	0.9778	-0.0222	42
28073	0.9375	0.5625	120	664.5	642.2	22.3	0.9333	1	0.0667	48
28074	0.875	0.75	180	394.3	308.7955	85.5045	0.6667	0.9778	0.3111	42
28075	0.3125	0.9375	120	454.5833	392.1111	62.4722	0.8	1	0.2	55
28076	1	0.75	60	476.2308	405.9762	70.2546	0.8667	0.9333	0.0667	23
28077	0.75	0.6875	360	499.9231	397.3556	102.5675	0.8667	1	0.1333	24
28078	0.875	0.75	180	427.0769	375.5909	51.486	0.8667	0.9778	0.1111	27
28079	0.9375	0.875	60	476.8	420.186	56.614	1	0.9556	-0.0444	37
