D1, D2, Con/ACC, Con/RT, In/ACC, In/RT
 0.2,  0.2,  1.0, .435, .877, .503
 0.2,  0.4,  1.0, .434, .886, .504
 0.2,  0.6,  1.0, .433, .884, .504
 0.2,  0.8, .9999, .431, .875, .509
 0.2,  1.0,  1.0, .431, .865, .507
 0.4,  0.2,  1.0, .433, .891, .503
 0.4,  0.4,  1.0, 0.43, .936, .483
 0.4,  0.6,  1.0, .431, .939, .481
 0.4,  0.8,  1.0, 0.43, .928, .486
 0.4,  1.0,  1.0, .432, .924, 0.49
 0.6,  0.2,  1.0, .432, .874, 0.51
 0.6,  0.4,  1.0, 0.43, .945, .482
 0.6,  0.6,  1.0, .429, .968, .461
 0.6,  0.8,  1.0, .429, .967, .466
 0.6,  1.0,  1.0, .429, .956, .466
 0.8,  0.2,  1.0, .432, .862, .509
 0.8,  0.4,  1.0, 0.43, .929, .489
 0.8,  0.6,  1.0, .429, .966, .463
 0.8,  0.8,  1.0, .427, .977, 0.45
 0.8,  1.0,  1.0, .428, .965, .453
 1.0,  0.2,  1.0, .432, .857, .507
 1.0,  0.4,  1.0, 0.43, .914, .485
 1.0,  0.6,  1.0, .429, .955, .466
 1.0,  0.8,  1.0, .426, .969, .452
 1.0,  1.0,  1.0, .428, .959, .455

