D1, D2, Con/ACC, Con/RT, In/ACC, In/RT
 0.1,  0.1,  1.0, .433, 0.66, .484
 0.1,  0.1,  1.0, .422, 0.74,  0.5
 0.1,  0.1,  1.0, .426, 0.68, .505
 0.1,  0.1,  1.0, 0.42, 0.64, .536
 0.1,  0.1,  1.0, .423,  0.7, .528
 0.1,  0.1,  1.0, .424, 0.74, .535
 0.1,  0.1,  1.0, .431, 0.78, .485
 0.1,  0.1,  1.0, 0.42, 0.76, .539
 0.1,  0.1,  1.0, 0.43, 0.66, .502
 0.1,  0.1,  1.0, .427, 0.62, .548
 0.1,  0.1,  1.0, .423,  0.8, .519
 0.1,  0.1,  1.0, .432, 0.66, .481
 0.1,  0.1,  1.0, .421, 0.76, .523
 0.1,  0.1,  1.0, .427, 0.74, .521
 0.1,  0.1,  1.0, .425, 0.72, .494
 0.1,  0.1,  1.0, .416, 0.62, .529
 0.1,  0.1,  1.0, .421, 0.76, .493
 0.1,  0.1,  1.0, .435,  0.7, .547
 0.1,  0.1,  1.0, .423, 0.86, .504
 0.1,  0.1,  1.0, 0.43, 0.68, .505
 0.1,  0.1,  1.0, .419, 0.72, 0.52
 0.1,  0.1,  1.0, .423, 0.72, .512
 0.1,  0.1,  1.0, .422, 0.82, .512
 0.1,  0.1,  1.0, .427, 0.58, .523
 0.1,  0.1,  1.0, .431, 0.68, .505
 0.1,  0.1,  1.0, .427,  0.7, .484
 0.1,  0.1,  1.0, .426, 0.72, .506
 0.1,  0.1,  1.0, .431,  0.8, .508
 0.1,  0.1,  1.0, .424, 0.62, .505
 0.1,  0.1,  1.0, .424, 0.76, .545
 0.1,  0.1,  1.0, .428, 0.74, .499
 0.1,  0.1,  1.0, .421, 0.72, .518
 0.1,  0.1,  1.0, 0.42, 0.74, .538
 0.1,  0.1,  1.0, .422, 0.74, .502
 0.1,  0.1,  1.0, .429,  0.7, .537
 0.1,  0.1,  1.0, .432,  0.7, .537
 0.1,  0.1,  1.0, .429, 0.72, .537
 0.1,  0.1,  1.0, .432,  0.7, .492
 0.1,  0.1,  1.0, .419, 0.62, 0.52
 0.1,  0.1,  1.0, .418, 0.72, .537
 0.1,  0.1,  1.0, .417, 0.76, .519
 0.1,  0.1,  1.0, .422, 0.62, .517
 0.1,  0.1,  1.0, .432,  0.8, .517
 0.1,  0.1,  1.0, .423,  0.7, .554
 0.1,  0.1,  1.0, .426,  0.7, .532
 0.1,  0.1,  1.0, .413, 0.72, .546
 0.1,  0.1,  1.0, .423, 0.88, .501
 0.1,  0.1,  1.0, .429,  0.7, .501
 0.1,  0.1,  1.0, .432, 0.76, .505
 0.1,  0.1,  1.0, .425, 0.72, .483
 0.1,  0.1,  1.0, .434, 0.76, .519
 0.1,  0.1,  1.0, .427, 0.64, .523
 0.1,  0.1,  1.0, .427, 0.74, .494
