D1, D2, Con/ACC, Con/RT, In/ACC, In/RT
 0.1,  0.1,  1.0, 0.43,  0.7, .488
 0.1,  0.1,  1.0, 0.42,  0.8, 0.52
 0.1,  0.1,  1.0, .433, 0.74, .505
 0.1,  0.1,  1.0, .428,  0.7, .544
 0.1,  0.1,  1.0, .434, 0.86, .473
 0.1,  0.1,  1.0, 0.43, 0.84, .499
 0.1,  0.1,  1.0, .421, 0.74, 0.51
 0.1,  0.1,  1.0, .426,  0.7, .533
 0.1,  0.1,  1.0, .426,  0.7, .569
 0.1,  0.1,  1.0, .428, 0.74, .518
 0.1,  0.1,  1.0, .432, 0.86, .522
 0.1,  0.1,  1.0, 0.43,  0.7, .516
 0.1,  0.1,  1.0, .428, 0.82, .532
 0.1,  0.1,  1.0, 0.42,  0.7, .541
 0.1,  0.1,  1.0, .423, 0.66, .544
 0.1,  0.1,  1.0, .423, 0.74, .486
 0.1,  0.1,  1.0, .421, 0.66, .487
 0.1,  0.1,  1.0, .424, 0.66, .528
 0.1,  0.1,  1.0, .428,  0.8, .558
 0.1,  0.1,  1.0, .424, 0.86, .518
 0.1,  0.1,  1.0, .426, 0.74, .534
 0.1,  0.1,  1.0, 0.43, 0.64, .516
 0.1,  0.1,  1.0, .436, 0.66, .511
 0.1,  0.1,  1.0, .431, 0.68, .533
 0.1,  0.1,  1.0, .436,  0.7, .513
 0.1,  0.1,  1.0, .432,  0.7, .534
 0.1,  0.1,  1.0, .423, 0.76, 0.49
 0.1,  0.1,  1.0, .423,  0.7, .545
 0.1,  0.1,  1.0, 0.42, 0.74, .529
 0.1,  0.1,  1.0, 0.42, 0.64, .527
 0.1,  0.1,  1.0, .429, 0.72, .487
 0.1,  0.1,  1.0, .426, 0.78, .498
 0.1,  0.1,  1.0, .424, 0.64, .472
 0.1,  0.1,  1.0, .421, 0.78, .513
 0.1,  0.1,  1.0, .427,  0.7, .517
 0.1,  0.1,  1.0, .432, 0.66, .511
 0.1,  0.1,  1.0, .427, 0.74, .494
 0.1,  0.1,  1.0, .423, 0.76, .512
 0.1,  0.1,  1.0, 0.42, 0.76, .546
 0.1,  0.1,  1.0, .425, 0.66, .508
 0.1,  0.1,  1.0, .425, 0.76, .513
 0.1,  0.1,  1.0, .425, 0.72, .534
 0.1,  0.1,  1.0, .415, 0.72, .516
 0.1,  0.1,  1.0, .424,  0.7, .516
 0.1,  0.1,  1.0, .422, 0.84, .491
 0.1,  0.1,  1.0, .434, 0.62, .521
 0.1,  0.1,  1.0, .422, 0.74, .499
 0.1,  0.1,  1.0, .425, 0.62, .543
 0.1,  0.1,  1.0, .422, 0.84, .499
 0.1,  0.1,  1.0, .423, 0.84, 0.51
 0.1,  0.1,  1.0, 0.42, 0.68, .514
 0.1,  0.1,  1.0, 0.42, 0.68, .498
 0.1,  0.1,  1.0, .429, 0.72, .506
 0.1,  0.1,  1.0, .425, 0.76, .548
 0.1,  0.1,  1.0, .426, 0.74, .524
 0.1,  0.1,  1.0, .427, 0.66, .532
 0.1,  0.1,  1.0, .431, 0.74, .522
 0.1,  0.1,  1.0, 0.42,  0.7, .525
 0.1,  0.1,  1.0, .431, 0.86, .524
 0.1,  0.1,  1.0, .429, 0.76, .521
 0.1,  0.1,  1.0, .411, 0.76, .519
 0.1,  0.1,  1.0, .423, 0.68, .524
 0.1,  0.1,  1.0, .424, 0.76, .516
 0.1,  0.1,  1.0, .422,  0.8, .523
 0.1,  0.1,  1.0, 0.43, 0.64, 0.48
 0.1,  0.1,  1.0, .428, 0.72, .498
 0.1,  0.1,  1.0, .434, 0.82, .532
 0.1,  0.1,  1.0, .425, 0.68, .532
 0.1,  0.1,  1.0, .413, 0.72, .484
 0.1,  0.1,  1.0, .425,  0.8, .497
 0.1,  0.1,  1.0, .421, 0.74, .495
